"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"8057","內田洋行","2,059","8.472","10.32","批發","59.52%","2.91%","3.07%"
"8059","第一實業","3,175","10.210","10.21","批發","48.36%","3.94%","3.61%"
"8066","三谷商事","2,680","9.560","9.56","批發","33.59%","3.62%","3.49%"
"8088","岩谷產業","1,967.0","9.498","9.50","批發","50.10%","2.39%","2.34%"
"8115","Moonbat","1,650","12.758","12.76","批發","41.00%","3.09%","3.83%"
"8117","中央汽車工業","2,065","11.828","11.83","批發","11.64%","2.95%","2.88%"
"8130","山月","3,010","12.085","12.08","批發","35.28%","5.15%","4.79%"
"8142","Toho食品","1,367","9.564","9.56","批發","64.19%","3.66%","3.85%"
"8154","加賀電子","4,175","12.843","12.84","批發","54.54%","2.63%","3.50%"
"8225","高千穗","3,340","7.105","7.11","批發","42.10%","2.99%","2.11%"
"9273","Koa商事控股","776","8.894","8.98","批發","22.14%","2.06%","1.97%"
"9857","英和","2,405","7.352","7.35","批發","42.07%","3.99%","3.44%"
"9867","Solekia","9,910","5.036","5.04","批發","46.93%","0.71%","0.80%"
"9906","藤井產業","4,215","7.268","8.64","批發","36.61%","3.68%","4.50%"
"9908","日本電計","2,660","8.285","8.29","批發","57.57%","3.65%","4.02%"
"9960","托迪思克電子","4,270","13.378","13.38","批發","36.01%","3.00%","3.37%"
"1518","三井松島控股","1,557","10.499","10.50","其他產品","56.38%","4.11%","3.86%"
"7807","幸和製作所","806","7.836","7.84","其他產品","30.55%","1.61%","1.22%"
"7809","壽屋","1,318","7.864","9.70","其他產品","40.22%","3.03%","1.81%"
"7821","前田工纖","1,851","12.538","13.25","其他產品","21.29%","1.51%","1.16%"
"7921","寶印刷","3,345","10.446","10.65","其他產品","23.29%","3.14%","2.98%"
"7994","岡村製作所","2,254","9.519","9.52","其他產品","31.73%","4.30%","4.17%"
"8022","美津濃","3,345","13.953","13.95","其他產品","30.70%","1.79%","1.87%"
"4346","Nexyz. Group","767","6.370","10.81","其他金融服務","67.08%","2.61%","2.18%"
"7164","日本全國保證","3,100.0","12.721","12.72","其他金融服務","51.05%","3.87%","3.50%"
"7187","J Lease","1,360","9.860","9.86","其他金融服務","66.63%","4.04%","3.58%"
"7191","Entrust","1,081","13.895","13.89","其他金融服務","36.70%","3.42%","2.90%"
"7192","日本抵押貸款服務","578","7.313","7.31","其他金融服務","61.23%","5.19%","4.43%"
"2060","Feed One","1,260","7.558","7.56","食品製造業","53.10%","3.21%","3.42%"
"2114","Fuji日本精糖","626","9.973","9.97","食品製造業","27.86%","2.88%","3.10%"
"2201","森永製果","2,692.0","12.754","12.75","食品製造業","36.40%","2.41%","2.30%"
"2216","甘樂","1,115","13.906","13.91","食品製造業","43.51%","2.87%","2.44%"
"2533","Oenon控股","498","9.101","9.10","食品製造業","54.46%","2.21%","2.15%"
"2813","和弘食品","4,020","8.696","8.70","食品製造業","37.50%","2.49%","2.12%"
"2924","Ifuji產業","2,047","8.325","8.32","食品製造業","33.33%","3.27%","3.37%"
"2932","STI食品控股","1,060","7.779","7.78","食品製造業","54.02%","3.77%","2.45%"
"3569","世聯","3,460","13.115","13.11","紡織產品","27.75%","2.20%","2.39%"
"8111","高得運服裝","2,255.0","12.830","12.83","紡織產品","22.43%","2.42%","2.00%"
"2307","Cross Cat","978","9.064","9.06","資訊及通訊業","38.63%","3.78%","2.97%"
"2317","Systena信息技術","414","13.081","13.08","資訊及通訊業","34.15%","3.38%","3.46%"
"2332","Quest","1,747","11.466","11.47","資訊及通訊業","27.98%","3.32%","3.94%"
"2335","Cube System","1,049","10.148","10.15","資訊及通訊業","23.47%","4.39%","3.90%"
"2349","Nippon Information Development","2,496","10.898","10.90","資訊及通訊業","20.98%","1.16%","1.22%"
"2354","Ye Digital","839","12.461","12.46","資訊及通訊業","43.12%","2.38%","2.42%"
"2359","日本核心集團","1,948","9.725","9.72","資訊及通訊業","26.48%","3.08%","2.71%"
"2477","Temairazu","2,314","13.239","13.96","資訊及通訊業","6.23%","1.69%","1.01%"
"3371","Softcreate控股","1,839","11.300","11.30","資訊及通訊業","30.57%","3.37%","2.88%"
"3635","光榮特庫摩控股","1,564.5","11.882","11.88","資訊及通訊業","13.11%","4.22%","3.50%"
"3671","SOFTMAX","296","12.401","12.40","資訊及通訊業","57.00%","3.38%","3.09%"
"3675","Cross Marketing Group","586","8.597","8.20","資訊及通訊業","51.36%","2.47%","1.86%"
"3679","ZIGExN","392","9.414","9.41","資訊及通訊業","44.64%","2.81%","1.74%"
"3712","情報企畫","896","11.424","12.58","資訊及通訊業","17.40%","2.68%","2.46%"
"3733","Software Service","11,680","10.329","10.00","資訊及通訊業","19.72%","1.37%","1.22%"
"3771","System Research","1,817","11.537","11.54","資訊及通訊業","30.70%","3.85%","3.49%"
"3817","SRA軟件","4,550","10.263","10.26","資訊及通訊業","34.46%","4.40%","4.16%"
"3826","System Integrator","439","10.455","10.45","資訊及通訊業","21.41%","2.96%","2.14%"
"3836","Avant集團","1,166","11.841","12.38","資訊及通訊業","36.00%","2.14%","1.36%"
"3844","Comture","1,334","12.954","13.46","資訊及通訊業","25.36%","3.67%","2.44%"
"3901","MarkLines","1,308","11.260","11.26","資訊及通訊業","25.36%","3.98%","2.29%"
"3916","DIT","852","11.532","11.56","資訊及通訊業","27.41%","4.64%","2.57%"
"3921","NeoJapan","1,611","12.471","12.47","資訊及通訊業","30.03%","3.23%","2.51%"
"3934","Benefit Japan","2,262","13.426","13.43","資訊及通訊業","39.03%","3.76%","3.34%"
"3935","伊迪亞","720","9.821","9.82","資訊及通訊業","42.01%","1.81%","1.50%"
"3937","Ubicom控股","995","13.526","13.53","資訊及通訊業","24.45%","2.51%","1.88%"
"3940","Nomura System","113","12.797","12.80","資訊及通訊業","11.35%","3.14%","2.74%"
"3962","Change控股","924","9.269","9.27","資訊及通訊業","48.13%","2.49%","1.70%"
"3988","SYS控股","535","13.958","13.28","資訊及通訊業","52.58%","1.31%","1.11%"
"4012","Axis","1,670","11.342","11.34","資訊及通訊業","24.57%","2.75%","2.36%"
"4287","Just Planning","457","10.625","10.63","資訊及通訊業","9.56%","2.41%","2.49%"
"4299","HIMACS","1,200","11.811","11.81","資訊及通訊業","19.35%","3.83%","3.50%"
"4335","IPS","1,096","8.806","9.22","資訊及通訊業","42.40%","3.47%","2.87%"
"4356","應用技術","1,572","9.811","9.81","資訊及通訊業","24.04%","2.54%","2.06%"
"4386","SIG集團","824","9.811","9.81","資訊及通訊業","53.37%","3.52%","3.31%"
"4390","IPS電信","3,615","11.454","11.45","資訊及通訊業","49.72%","1.11%","1.58%"
"4421","D.I.System","940","10.690","10.69","資訊及通訊業","47.37%","2.87%","2.59%"
"4430","東海Soft","1,662","8.780","9.77","資訊及通訊業","46.10%","3.31%","3.39%"
"4432","文雅科信息技術","2,481","13.302","13.30","資訊及通訊業","36.00%","4.19%","2.95%"
"4439","東名","757","9.839","9.47","資訊及通訊業","40.92%","1.59%","0.86%"
"4481","貝斯軟件","2,950","12.969","12.97","資訊及通訊業","22.73%","3.97%","3.23%"
"4492","Genetec","410","9.365","9.37","資訊及通訊業","60.55%","5.37%","3.29%"
"4662","Focus Systems","1,656","10.641","10.64","資訊及通訊業","35.43%","3.86%","3.63%"
"4674","Cresco信息技術","1,488","11.462","11.46","資訊及通訊業","30.11%","4.30%","3.50%"
"4685","Ryoyu Systems","2,851","9.297","9.30","資訊及通訊業","25.65%","3.42%","3.03%"
"4687","梯遞息軟件","952","11.924","13.07","資訊及通訊業","25.60%","2.84%","2.07%"
"4709","ID控股","1,068","12.429","12.43","資訊及通訊業","36.43%","3.75%","3.68%"
"4722","Future","1,691","12.800","12.80","資訊及通訊業","35.63%","2.72%","2.28%"
"4752","Showa System Engineering","1,550","8.631","8.63","資訊及通訊業","37.00%","3.94%","3.80%"
"4783","NCD","2,445","10.736","10.74","資訊及通訊業","49.37%","4.91%","3.36%"
"4828","畢恩吉","1,087","13.292","13.29","資訊及通訊業","25.34%","3.83%","2.78%"
"5589","Autoserver","2,703","13.715","13.71","資訊及通訊業","35.85%","2.44%","3.15%"
"6199","Seraku","1,266","11.262","9.98","資訊及通訊業","33.18%","1.04%","0.84%"
"6888","ACMOS","467","13.148","11.99","資訊及通訊業","31.82%","5.35%","4.07%"
"7849","Starts出版","3,315","9.242","9.24","資訊及通訊業","16.50%","3.62%","2.84%"
"8023","DAIKO XTECH","982","8.615","8.61","資訊及通訊業","50.95%","3.67%","3.23%"
"8157","都築電氣","3,935","11.055","11.06","資訊及通訊業","44.27%","3.20%","3.95%"
"9360","鈴與Shinwart","2,860","7.534","7.53","資訊及通訊業","59.48%","3.85%","3.33%"
"9435","光通訊","35,950.0","10.460","10.46","資訊及通訊業","57.33%","2.09%","1.89%"
"9445","Forval Telecom","531","9.028","9.03","資訊及通訊業","63.27%","4.33%","4.25%"
"9450","Fibergate","763","11.972","11.73","資訊及通訊業","46.48%","3.54%","1.95%"
"9685","KYCOM控股","596","5.682","5.68","資訊及通訊業","40.08%","1.68%","1.26%"
"9687","KSK","4,370","12.409","12.41","資訊及通訊業","28.73%","4.14%","3.48%"
"9709","NCS&A","1,239","9.350","9.35","資訊及通訊業","35.18%","4.68%","4.00%"
"9739","日本系統軟件(NSW)","2,532","10.169","10.17","資訊及通訊業","23.13%","4.94%","3.56%"
"9799","旭信息服務","916","11.121","11.12","資訊及通訊業","20.05%","3.71%","3.55%"
"9928","Miroku信息服務","1,766","10.054","10.05","資訊及通訊業","31.54%","3.40%","3.07%"
"4507","鹽野義製藥","2,895.5","12.013","12.01","藥品","34.56%","2.45%","2.28%"
"4516","日本新藥","4,134.0","9.374","9.37","藥品","15.73%","3.00%","2.82%"
